Action,MachineName,UserNameAndPID,TimeCreated
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 11:10:36 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 10:47:24 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 10:47:13 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 10:46:47 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 9:51:05 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 12:02:44 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 10:01:14 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 4:15:46 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 2:52:56 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 1:46:03 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 1:22:21 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 10:37:26 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/7/2019 9:22:26 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/6/2019 11:48:49 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/6/2019 8:20:19 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/6/2019 6:41:00 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/6/2019 5:34:36 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/6/2019 4:30:46 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/6/2019 2:38:23 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/5/2019 10:34:53 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/5/2019 10:17:18 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/5/2019 12:21:58 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/5/2019 12:17:37 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/5/2019 12:15:52 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 11:21:16 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 10:03:00 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 6:57:17 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 11:59:33 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 9:43:36 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 1:20:01 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 12:22:11 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 12:21:42 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/4/2019 12:11:27 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 9:15:45 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 6:30:17 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 5:28:18 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 3:19:11 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 2:36:17 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 2:33:50 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 2:31:46 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 2:01:47 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 10:43:14 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 9:38:52 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/3/2019 1:08:59 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/2/2019 9:57:25 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/2/2019 4:31:24 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/2/2019 10:58:06 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/2/2019 10:45:34 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/2/2019 9:27:54 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 11:59:16 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 11:51:13 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 11:50:48 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 10:04:59 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 9:12:01 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/1/2019 8:04:15 PM
